x,y
0.2737,3.4745e-05
0.2747,3.515e-05
0.2757,3.5517e-05
0.2767,3.5839999999999996e-05
0.2777,3.6116000000000005e-05
0.2787,3.634e-05
0.2797,3.6507e-05
0.2807,3.6615e-05
0.2817,3.665800000000001e-05
0.2827,3.6630999999999995e-05
0.2837,3.6532e-05
0.2847,3.6358e-05
0.2857,3.6116000000000005e-05
0.2867,3.5809e-05
0.2877,3.5443000000000006e-05
0.2887,3.5025000000000004e-05
0.2897,3.4558e-05
0.2907,3.4049000000000006e-05
0.2917,3.3502e-05
0.2927,3.2924000000000005e-05
0.2937,3.2319e-05
0.2947,3.1692999999999996e-05
0.2957,3.1051e-05
0.2967,3.0398999999999998e-05
0.2977,2.9741000000000002e-05
0.2987,2.9083000000000003e-05
0.2997,2.8431000000000003e-05
0.3007,2.779e-05
0.3017,2.7165e-05
0.3027,2.656e-05
0.3037,2.5974000000000002e-05
0.3047,2.5405e-05
0.3057,2.4853e-05
0.3067,2.4313999999999998e-05
0.3077,2.3788e-05
0.3087,2.3272e-05
0.3097,2.2766000000000002e-05
0.3107,2.2267e-05
0.3117,2.1773e-05
0.3127,2.1284e-05
0.3137,2.0797e-05
0.3147,2.0311e-05
0.3157,1.9824000000000002e-05
0.3167,1.9335e-05
0.3177,1.8841e-05
0.3187,1.8342e-05
0.3197,1.7834e-05
0.3207,1.7319e-05
0.3217,1.6797e-05
0.3227,1.6274e-05
0.3237,1.5751999999999998e-05
0.3247,1.5236e-05
0.3257,1.4729e-05
0.3267,1.4236e-05
0.3277,1.3759e-05
0.3287,1.3303000000000001e-05
0.3297,1.2871000000000001e-05
0.3307,1.2468e-05
0.3317,1.2096e-05
0.3327,1.1761000000000001e-05
0.3337,1.1465e-05
0.3347,1.1212e-05
0.3357,1.1007e-05
0.3367,1.0853e-05
0.3377,1.0753e-05
0.3387,1.0711e-05
0.3397,1.0726e-05
0.3407,1.0792e-05
0.3417,1.0906e-05
0.3427,1.1064e-05
0.3437,1.1259999999999999e-05
0.3447,1.149e-05
0.3457,1.1750000000000001e-05
0.3467,1.2037000000000002e-05
0.3477,1.2345e-05
0.3487,1.2669e-05
0.3497,1.3007e-05
0.3507,1.3353e-05
0.3517,1.3703e-05
0.3527,1.4052e-05
0.3537,1.4397e-05
0.3547,1.4733e-05
0.3557,1.5055e-05
0.3567,1.5360000000000002e-05
0.3577,1.5646e-05
0.3587,1.5915e-05
0.3597,1.6168e-05
0.3607,1.6407e-05
0.3617,1.6632999999999998e-05
0.3627,1.6849e-05
0.3637,1.7054e-05
0.3647,1.7252e-05
0.3657,1.7444e-05
0.3667,1.763e-05
0.3677,1.7814e-05
0.3687,1.7995e-05
0.3697,1.8177e-05
0.3707,1.8359e-05
0.3717,1.8545e-05
0.3727,1.8734e-05
0.3737,1.893e-05
0.3747,1.9133e-05
0.3757,1.9344e-05
0.3767,1.9560000000000002e-05
0.3777,1.9779e-05
0.3787,1.9997999999999997e-05
0.3797,2.0215000000000002e-05
0.3807,2.0428e-05
0.3817,2.0635e-05
0.3827,2.0832e-05
0.3837,2.1019e-05
0.3847,2.1192e-05
0.3857,2.1349000000000002e-05
0.3867,2.1487e-05
0.3877,2.1605e-05
0.3887,2.1700000000000002e-05
0.3897,2.177e-05
0.3907,2.1812e-05
0.3917,2.1824e-05
0.3927,2.1803e-05
0.3937,2.175e-05
0.3947,2.1665e-05
0.3957,2.1552000000000003e-05
0.3967,2.1414e-05
0.3977,2.1253e-05
0.3987,2.1072e-05
0.3997,2.0875000000000003e-05
0.4007,2.0663000000000002e-05
0.4017,2.0439e-05
0.4027,2.0206999999999998e-05
0.4037,1.9969e-05
0.4047,1.9727999999999998e-05
0.4057,1.9486e-05
0.4067,1.9247e-05
0.4077,1.9013e-05
0.4087,1.8787e-05
0.4097,1.8571000000000002e-05
0.4107,1.8369e-05
0.4117,1.8183000000000002e-05
0.4127,1.8011e-05
0.4137,1.7852e-05
0.4147,1.7704999999999997e-05
0.4157,1.7568000000000002e-05
0.4167,1.7439e-05
0.4177,1.7317e-05
0.4187,1.72e-05
0.4197,1.7086000000000002e-05
0.4207,1.6975e-05
0.4217,1.6865000000000002e-05
0.4227,1.6754000000000003e-05
0.4237,1.664e-05
0.4247,1.6521e-05
0.4257,1.6398e-05
0.4267,1.6267000000000002e-05
0.4277,1.6127e-05
0.4287,1.5977000000000003e-05
0.4297,1.5815e-05
0.4307,1.5640999999999998e-05
0.4317,1.5455e-05
0.4327,1.5257e-05
0.4337,1.5048e-05
0.4347,1.4828e-05
0.4357,1.4597000000000001e-05
0.4367,1.4355e-05
0.4377,1.4102e-05
0.4387,1.3839e-05
0.4397,1.3565000000000001e-05
0.4407,1.3281e-05
0.4417,1.2987000000000001e-05
0.4427,1.2684000000000001e-05
0.4437,1.2371e-05
0.4447,1.2048e-05
0.4457,1.1717e-05
0.4467,1.1376000000000001e-05
0.4477,1.1025999999999999e-05
0.4487,1.0668e-05
0.4497,1.0302e-05
0.4507,9.927999999999999e-06
0.4517,9.546000000000001e-06
0.4527,9.157e-06
0.4537,8.76e-06
0.4547,8.357e-06
